Model Architecture,Accuracy,Precision,Recall,F1-Score,Inference Latency (ms)
Logistic Regression (Linear),0.8678571428571429,0.8872180451127819,0.8428571428571429,0.8644688644688645,0.0017847333635602678
Support Vector Machine (RBF),0.8678571428571429,0.8814814814814815,0.85,0.8654545454545455,0.0646965844290597
Random Forest (Ensemble),0.8232142857142857,0.8389513108614233,0.8,0.8190127970749543,0.02637505531311035
Gradient Boosting (GBM),0.8535714285714285,0.8485915492957746,0.8607142857142858,0.8546099290780141,0.010710528918675015
Proposed MLP (Neural Network),0.8642857142857143,0.8834586466165414,0.8392857142857143,0.8608058608058609,0.0028946569987705778
Proposed Bayesian MLP (MC Dropout),0.8589285714285714,0.9036144578313253,0.8035714285714286,0.8506616257088847,0.35963824817112516
